utterance,ctc_viterbi_encoding_ms,ctc_viterbi_phone_region_and_scoring_ms,ctc_viterbi_stress_ms,ctc_viterbi_downstream_total_ms,ctc_viterbi_scored_phones,ctc_viterbi_scored_polysyllabic_words,mfa_encoding_ms,mfa_phone_region_and_scoring_ms,mfa_stress_ms,mfa_downstream_total_ms,mfa_scored_phones,mfa_scored_polysyllabic_words
000930018,60.96174998674542,3.620708012022078,0.0006250047590583563,64.5860829972662,16,0,60.848332999739796,0.21595798898488283,0.0007910130079835653,61.0654590127524,16,0
000930026,44.468209001934156,1.8005000019911677,0.0004169996827840805,46.26949998782948,11,0,44.315541977994144,0.12779200915247202,0.0005830079317092896,44.44425000110641,11,0
000930035,47.52641700906679,1.9812500104308128,0.0004169996827840805,49.50858300435357,11,0,46.88845801865682,0.1400829933118075,0.0006660120561718941,47.02950001228601,11,0
000930040,40.28562500025146,1.5553330013062805,0.0002910092007368803,41.84170800726861,10,0,40.615832986077294,0.12941702152602375,0.0005409820005297661,40.74633397976868,10,0
000930048,48.51233400404453,2.408333995845169,0.0005420006345957518,50.92145799426362,13,0,48.51608400349505,0.15708300634287298,0.0006250047590583563,48.67416599881835,13,0
000930050,47.80379100702703,2.477333997376263,0.0008749775588512421,50.28233298799023,13,0,47.636083007091656,0.14866699348203838,0.00033300602808594704,47.78529200120829,13,0
000930051,40.46029198798351,1.7149159975815564,0.00037500285543501377,42.175874987151474,9,0,40.49424998811446,0.10770800872705877,0.00045797787606716156,40.60266702435911,9,0
000930056,45.18587500206195,2.1522919996641576,0.0004580069798976183,47.33895801473409,12,0,45.34879099810496,0.13508298434317112,0.0005410111043602228,45.48475000774488,12,0
000930089,52.44341699290089,2.8152919840067625,40.77770799631253,96.0369159874972,14,1,52.20516701228917,0.18012500368058681,48.660291999112815,101.04633399168961,14,1
000930091,58.73208399862051,4.392792005091906,0.0007500057108700275,63.126124994596466,15,0,59.32716600364074,0.19912500283680856,0.0005839974619448185,59.52749997959472,15,0
000930095,53.29737500869669,2.8575000178534538,0.000667001586407423,56.15608301013708,13,0,52.87745900568552,0.16233298811130226,0.0007079797796905041,53.04074997548014,13,0
000930099,52.16458300128579,3.737124992767349,42.82616698765196,98.7284169823397,19,1,52.65454199980013,0.21091700182296336,42.9423330060672,95.80837498651817,19,1
000930101,47.89770898059942,2.4922500015236437,0.0005839974619448185,50.39116699481383,10,0,47.72608299390413,0.14212497626431286,0.0006250047590583563,47.869208006886765,10,0
000930111,64.2798749904614,4.61541599361226,0.000500003807246685,68.89649998629466,17,0,64.24562499159947,0.20779200713150203,0.0005830079317092896,64.45433301269077,17,0
000930148,53.820041997823864,3.616708010667935,91.14920799038373,148.58629097579978,18,2,53.85504098376259,0.21500000730156898,80.4487080022227,134.51945799170062,18,2
000930151,63.15804098267108,2.7818330272566527,0.0005829788278788328,65.94087497796863,10,0,62.78216702048667,0.16008300008252263,0.0006249756552278996,62.943416996859014,10,0
000930155,48.32383300526999,1.9768339989241213,39.40987499663606,89.71112500876188,10,1,48.12670801766217,0.14704099157825112,43.995290994644165,92.26954201585613,10,1
000930162,44.805999990785494,1.7387499974574894,0.0004580069798976183,46.5455419907812,9,0,44.932874996447936,0.12558299931697547,0.00045797787606716156,45.05920800147578,9,0
000940012,54.876625014003366,3.7362089788075536,137.47029099613428,196.08362502185628,19,3,55.43154198676348,0.22404099581763148,124.38245801604353,180.03870800021105,19,3
000940015,52.25425001117401,2.9984999855514616,34.73537499667145,89.9887910054531,16,1,56.13004098995589,0.18633302533999085,37.434040976222605,93.75104200444184,16,1
